Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-08,1115.32,1127.6,1112.8,1126.0,1240299.0,0.0,1.0,1115.32,1127.6,1112.8,1126.0,1240299.0
2018-03-07,1089.19,1112.22,1085.48,1109.64,1292537.0,0.0,1.0,1089.19,1112.22,1085.48,1109.64,1292537.0
2018-03-06,1099.22,1101.85,1089.78,1095.06,1532783.0,0.0,1.0,1099.22,1101.85,1089.78,1095.06,1532783.0
2018-03-05,1075.14,1097.1,1069.0,1090.93,1202174.0,0.0,1.0,1075.14,1097.1,1069.0,1090.93,1202174.0
2018-03-02,1053.08,1082.0,1048.12,1078.92,2271551.0,0.0,1.0,1053.08,1082.0,1048.12,1078.92,2271551.0
2018-03-01,1107.87,1110.12,1067.0,1069.52,2515910.0,0.0,1.0,1107.87,1110.12,1067.0,1069.52,2515910.0
2018-02-28,1123.03,1127.53,1103.24,1104.73,1858051.0,0.0,1.0,1123.03,1127.53,1103.24,1104.73,1858051.0
2018-02-27,1141.24,1144.04,1118.0,1118.29,1741578.0,0.0,1.0,1141.24,1144.04,1118.0,1118.29,1741578.0
2018-02-26,1127.8,1143.96,1126.69,1143.75,1492380.0,0.0,1.0,1127.8,1143.96,1126.69,1143.75,1492380.0
2018-02-23,1112.64,1127.28,1104.71,1126.79,1158377.0,0.0,1.0,1112.64,1127.28,1104.71,1126.79,1158377.0
2018-02-22,1116.19,1122.82,1102.59,1106.63,1306276.0,0.0,1.0,1116.19,1122.82,1102.59,1106.63,1306276.0
2018-02-21,1106.47,1133.97,1106.33,1111.34,1493162.0,0.0,1.0,1106.47,1133.97,1106.33,1111.34,1493162.0
2018-02-20,1090.57,1113.95,1088.52,1102.46,1381603.0,0.0,1.0,1090.57,1113.95,1088.52,1102.46,1381603.0
2018-02-16,1088.41,1104.67,1088.31,1094.8,1664969.0,0.0,1.0,1088.41,1104.67,1088.31,1094.8,1664969.0
2018-02-15,1079.07,1091.48,1064.34,1089.52,1777694.0,0.0,1.0,1079.07,1091.48,1064.34,1089.52,1777694.0
2018-02-14,1048.95,1071.72,1046.75,1069.7,1515444.0,0.0,1.0,1048.95,1071.72,1046.75,1069.7,1515444.0
